region,local_authority,road_name,road_classification,managed_by,road_type,start_junction,end_junction,link_km,link_miles,easting,northing,latitude,longitude,count_point_id
West Midlands,Stoke-on-Trent,A34,'A' road,Local authority,Major,A500(T),LA Boundary,2.60,1.62,385640,345000,53.00214050,-2.21542876,6353
West Midlands,Staffordshire,A34,'A' road,Local authority,Major,Whitemill Lane,B5027,1.60,0.99,389300,334000,52.90334406,-2.16052241,6354
West Midlands,Birmingham,A34,'A' road,Local authority,Major,A4400/A38,A4540,0.80,0.50,407240,288000,52.48988220,-1.89479785,6358
West Midlands,Birmingham,A34,'A' road,Local authority,Major,A4040,B4217,2.10,1.30,410520,282000,52.43588968,-1.84667816,6359
West Midlands,Warwickshire,A3400,'A' road,Local authority,Major,B4035,A429,4.30,2.67,425570,244000,52.09377093,-1.62816619,6361
South East,Oxfordshire,A34,'A' road,Highways England,Major,A415,A4183,4.60,2.86,450120,200000,51.69652242,-1.27621814,6363
South East,West Berkshire,A339,'A' road,Local authority,Major,A4 intersection,A34,3.70,2.30,447081,169543,51.42294890,-1.32425204,6364
South East,Southampton,A35,'A' road,Local authority,Major,A33,Stoneham Lane,2.10,1.30,442000,115420,50.93669431,-1.40364111,6367
South East,Southampton,A33,'A' road,Local authority,Major,M271,A3024,1.10,0.68,438000,113400,50.91880730,-1.46077508,6368
South East,Hampshire,A35,'A' road,Local authority,Major,A35 Gosport Lane,A337,0.20,0.12,430000,108200,50.87251858,-1.57500581,6369
South West,Wiltshire,A36,'A' road,Highways England,Major,"Bourne Way, Salisbury",A27,9.50,5.90,420484,125118,51.02506362,-1.70929454,6380
